docs_count  ,filer              ,avg_duration    ,PR     ,note
712         ,categories         ,0:00:00.342165  ,#3555  ,-
712         ,categories:drafts  ,0:00:00.336929  ,#3555  ,-
712         ,categories:finals  ,0:00:00.347465  ,#3555  ,-
7008        ,categories         ,0:00:02.576425  ,#3555  ,-
7008        ,categories:drafts  ,0:00:02.642546  ,#3555  ,-
7008        ,categories:finals  ,0:00:02.626661  ,#3555  ,-
14008       ,categories         ,0:00:07.763035  ,#3555  ,-
14008       ,categories:drafts  ,0:00:07.942379  ,#3555  ,-
14008       ,categories:finals  ,0:00:07.895095  ,#3555  ,-
712         ,categories         ,0:00:00.130960  ,#3614  ,-
712         ,categories:drafts  ,0:00:00.134510  ,#3614  ,-
712         ,categories:finals  ,0:00:00.138945  ,#3614  ,-
7008        ,categories         ,0:00:00.220099  ,#3614  ,-
7008        ,categories:drafts  ,0:00:00.239930  ,#3614  ,-
7008        ,categories:finals  ,0:00:01.165869  ,#3614  ,-
14008       ,categories         ,0:00:00.372244  ,#3614  ,-
14008       ,categories:drafts  ,0:00:00.380780  ,#3614  ,-
14008       ,categories:finals  ,0:00:04.466084  ,#3614  ,-
712         ,categories         ,0:00:00.076324  ,#3672  ,DocumentAuthors table (2x more db entries)
712         ,categories:drafts  ,0:00:00.097465  ,#3672  ,-
712         ,categories:finals  ,0:00:00.094671  ,#3672  ,-
7008        ,categories         ,0:00:00.567814  ,#3672  ,-
7008        ,categories:drafts  ,0:00:00.474589  ,#3672  ,-
7008        ,categories:finals  ,0:00:01.290510  ,#3672  ,-
14008       ,categories         ,0:00:02.114651  ,#3672  ,-
14008       ,categories:drafts  ,0:00:01.690294  ,#3672  ,-
14008       ,categories:finals  ,0:00:05.336655  ,#3672  ,-
712         ,categories         ,0:00:00.134385  ,#3622  ,wasm
712         ,categories:drafts  ,0:00:00.132170  ,#3622  ,-
712         ,categories:finals  ,0:00:00.141990  ,#3622  ,-
7008        ,categories         ,0:00:00.654435  ,#3622  ,-
7008        ,categories:drafts  ,0:00:00.534680  ,#3622  ,-
7008        ,categories:finals  ,0:00:01.294485  ,#3622  ,-
14008       ,categories         ,0:00:02.108506  ,#3622  ,-
14008       ,categories:drafts  ,0:00:01.585000  ,#3622  ,-
14008       ,categories:finals  ,0:00:05.024950  ,#3622  ,-
712         ,categories         ,0:00:00.139314  ,#3747  ,-
712         ,categories:drafts  ,0:00:00.138364  ,#3747  ,-
712         ,categories:finals  ,0:00:00.148680  ,#3747  ,-
7008        ,categories         ,0:00:00.168405  ,#3747  ,-
7008        ,categories:drafts  ,0:00:00.190470  ,#3747  ,-
7008        ,categories:finals  ,0:00:00.167145  ,#3747  ,-
14008       ,categories         ,0:00:00.253610  ,#3747  ,-
14008       ,categories:drafts  ,0:00:00.266390  ,#3747  ,-
14008       ,categories:finals  ,0:00:00.247054  ,#3747  ,-
712         ,categories         ,0:00:00.165890  ,#3924  ,More Indexes and simpler CTE
712         ,categories:drafts  ,0:00:00.139379  ,#3924  ,-
712         ,categories:finals  ,0:00:00.133735  ,#3924  ,-
7008        ,categories         ,0:00:00.210300  ,#3924  ,-
7008        ,categories:drafts  ,0:00:00.231276  ,#3924  ,-
7008        ,categories:finals  ,0:00:00.201839  ,#3924  ,-
14008       ,categories         ,0:00:00.323056  ,#3924  ,-
14008       ,categories:drafts  ,0:00:00.343371  ,#3924  ,-
14008       ,categories:finals  ,0:00:00.305535  ,#3924  ,-
